SC,JP,EN,VN,Comment
自1]想要逃跑吗？,自1]逃げるの？,"自1]Oh, now you wanna scoot off?",自1]Định chạy trốn sao?,
,,,,
d114.txt,,,,
自1]咳咳……外面的空气最近这么浑浊吗……,自1]ゴホゴホ…最近外の空気はこんなに濁っているの…,自1]Cough... The air outside is too turbid...,自1]Khụ khụ… Không khí bên ngoài gần đây vẩn đục vậy sao…,
敌03]你好像很厉害啊。,敌03]きみ、すごそうだな。,敌03]You seem pretty strong.,敌03]Có vẻ là ngươi rất lợi hại đó.,
自0]如果我没有猜错的话，你应该是受了这里的影响吧。,自0]推測が間違いなければ、貴女はここの影響を受けたはずね。,"自0]If I'm right, this place has some kind of effect on you.","自0]Nếu mà ta không đoán sai, ngươi hẳn là đã chịu ảnh hưởng của nơi này.",
敌00]因为有什么东西在吸引着我到这里来呢。,敌00]何かが惹きつけてるからよ。,敌00]Something is luring me here.,敌00]Bởi vì có một cái gì đó đang có hấp dẫn ta đến nơi này đó.,
自0]不过你身上似乎在散发着奇怪的气息……,自0]でも貴女の身から何か変な気配が…,自0]But you're giving off that strange scent...,自0]Nhưng mà trên người ngươi hình như đang có tỏa ra hơi khí kỳ lạ…,
MUSIC,MUSIC,MUSIC,MUSIC,
自0]看来有必要帮你清除一下呢。,自0]クリアしてあげる必要があるよね。,自0]Looks like I'll take care of you...,自0]Xem ra cần phải giúp ngươi thanh trừ một lát vậy.,
敌00]要动手吗？正好，让我领教下你的魔法吧！,敌00]やるの？丁度いい、その魔法を見せてね！,"敌00]Wanna fight? It's about time! Show me your magic, then!","敌00]Muốn động thủ sao? Vừa đẹp, cho ta lĩnh giáo ma pháp của ngươi đi!",
PAUSE,PAUSE,PAUSE,PAUSE,
敌01]果然很厉害啊。,敌01]やはりすごいな。,"敌01]You are pretty strong, as I expected.",敌01]Quả nhiên rất lợi hại đấy.,
自0]这仅仅是我的冰山一角而已。,自0]氷山の一角だけよ。,自0]There's a lot you don't know about me.,自0]Đây chỉ mới là bề nổi của tảng băng mà thôi.,
敌00]可惜我的目标不是你，而是前面的洋馆哦。,敌00]残念、こっちの目的はきみではなく、先の洋館だけどね。,"敌00]Too bad it is not you that I'm after, but the mansion there.","敌00]Đáng tiếc mục tiêu của ta không phải ngươi, mà là dương quán đằng trước cơ.",
,,,,
d211.txt,,,,
敌11]有情况！,敌11]異常あり！,敌11]Something isn't right here!,敌11]Có biến!,
自3]喂，你这家伙……,自3]こら！こいつ…,自3]Hey! You!,自3]Ê! Nhà ngươi…,
敌13]哼，这次不会让你走的喔！,敌13]ふん！今度は逃がさないよ！,敌13]I won't let you slip off this time!,"敌13]Hừm, lần này sẽ không để ngươi chạy mất đâu!",
自2]我现在没空陪你玩喔。,自2]遊んでやる暇はないよ。,自2]I don't have that kind of time right now.,自2]Giờ ta không rảnh chơi cùng ngươi đâu.,
MUSIC,MUSIC,MUSIC,MUSIC,
敌13]那就让我把你冻起来好了！,敌13]じゃあ、凍り付けてやる！,敌13]Then I'll have to freeze you!,敌13]Vậy cứ để ta làm đông ngươi lại là được thôi!,
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d212.txt,,,,
自0]唔，突然变得好冷……,自0]う、急にさむぅ…,自0]It's freezing here...,"自0]Hừ, đột nhiên trở nên lạnh quá…",
敌11]敌人来了！,敌11]敵あり！,敌11]Incoming!,敌11]Kẻ địch đến rồi!,
自1]喂，一上来就开打么！,自1]おい！いきなり撃つかよ！,自1]Hey! Don't you think that was a little too quick?,"自1]Này, vừa lên là liền đấu luôn sao?!",
敌13]当然，身为妖精要想统领这里就要有随时准备战斗的意识！,敌13]もちのろん！妖精がここを統べたいなら、いつでも戦えるイシキがなきゃ！,"敌13]Of course! As a fairy who rules the lake, you gotta be born ready!",敌13]Đương nhiên! Thân là yêu tinh nếu muốn thống lĩnh nơi này thì phải có ý thức sẵn sàng chiến đấu mọi lúc!,
MUSIC,MUSIC,MUSIC,MUSIC,
自1]口气还是这么大呢。,自1]相変わらず生意気ね。,自1]You haven't changed a bit.,自1]Khẩu khí vẫn lớn như vậy nhỉ.,
敌13]我会把你像青蛙一样冻成大冰块的喔。,敌13]カエルのようにでかい氷にしてやんよ。,敌13]I'll freeze you into a big ice cube like a frosty frog!,敌13]Ta sẽ đông ngươi thành khối băng lớn giống như một con ếch đó.,
自2]好吧，那就尽管来咯。,自2]よし、かかってこい。,"自2]Well, you can try.","自2]Được đó, vậy thì cứ việc nhào lên.",
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d213.txt,,,,
敌11]有情况！,敌11]異常あり！,敌11]Something isn't right here!,敌11]Có biến!,
自0]这里异常的天气变化，应该就是你制造的吧。,自0]ここの異常気象、貴方のせいですね。,自0]Seems like you're the reason behind the abnormal weather here.,"自0]Nơi này thời tiết biến hóa một cách dị thường, hẳn chính là do ngươi tạo ra.",
敌12]哼，我可是妖精的领袖，这里就是我的地盘！,敌12]ふんだ！あたいは妖精のリーダー、ここはあたいのナワバリよ！,敌12]I'm the leader of the fairies! This is my place!,"敌12]Hừm, ta í là lãnh tụ của yêu tinh, nơi này chính là địa bàn của ta!",
自3]不过我觉得你打不过我的喔。,自3]貴方では勝てないと思うけど。,自3]I don't think you can defeat me.,自3]Nhưng mà ta cảm thấy ngươi đánh không lại ta đâu.,
MUSIC,MUSIC,MUSIC,MUSIC,
敌13]总之先把你打败再说！,敌13]とりあえずあんたを倒してから！,"敌13]Anyway, I'll destroy you!","敌13]Trước hết, đánh bại ngươi cái đã rồi nói sau!",
自2]真是自不量力呢……,自2]身の程知らずね…,自2]You are in way over your head...,自2]Thật là không biết lượng sức mình nhỉ…,
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d214.txt,,,,
自0]看来是使用冰魔法的妖精？,自0]氷の魔法を操る妖精のようだ？,自0]An ice fairy?,自0]Xem ra là một yêu tinh sử dụng 'băng ma pháp'?,
敌12]我不会让你回到陆地上的说！,敌12]陸上には帰さないよ！,敌12]I won't let you get back to the land!,敌12]Ta sẽ không để ngươi trở về trên đất liền đâu đó!,
自0]似乎能力不像想得那么弱啊，雾之湖被整个封冻住了。,自0]思ったほど弱くないね、霧の湖を丸ごと凍り付いたなんて。,"自0]Well, you're not as feeble as I thought. The whole lake is frozen.","自0]Hình như năng lực không đến nỗi yếu như ta tưởng, hồ sương mù bị đóng băng cả lại rồi.",
敌13]嘿嘿，因为我是最强的啊！,敌13]エッヘン！あたい最強！,敌13]Haha! Because I'm the strongest!,"敌13]Khà khà, bởi vì ta là mạnh nhất á!",
MUSIC,MUSIC,MUSIC,MUSIC,
自0]看来这种反常的现象和异变有关……,自0]どうやらこの異常現象は異変と繋がりがありそう…,自0]Maybe the abnormality is related to the incident...,自0]Xem ra hiện tượng khác thường kiểu này có liên quan đến dị biến…,
敌12]喂！！！不要无视我啊！！！,敌12]こらぁ！！！無視すんな！！！,敌12]Hey!!! I'm talking to you!,敌12]Ê!!! Không đếm xỉa gì ta à!!!,
自0]那就顺便帮你活动活动好了。,自0]ではついでに、少々運動させよう。,"自0]Meanwhile, I think I could help you with your daily exercise.",自0]Vậy thì nhân tiện giúp ngươi vận động đôi chút là được thôi.,
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d301.txt,,,,
PAUSE,PAUSE,PAUSE,PAUSE,
敌]可恶，又要被骂了……,敌]可恶，又要被骂了……,敌]可恶，又要被骂了……,"敌]Đáng ghét, lại phải bị mắng rồi…",Unused
,,,,
d302.txt,,,,
PAUSE,PAUSE,PAUSE,PAUSE,
自]全速前进！,自]全速前进！,自]全速前进！,自]Toàn tốc tiến lên!,Unused
敌]可恶，又要被骂了……,敌]可恶，又要被骂了……,敌]可恶，又要被骂了……,"敌]Đáng ghét, lại phải bị mắng rồi…",Unused
,,,,
d303.txt,,,,
PAUSE,PAUSE,PAUSE,PAUSE,
自]没想到看门的妖怪也有两手喔。,自]没想到看门的妖怪也有两手喔。,自]没想到看门的妖怪也有两手喔。,自]Không ngờ rằng 'yêu quái coi cửa' cũng có ngón nghề phết.,Unused
敌]待会儿让你见识一下什么叫真正的背水阵！,敌]待会儿让你见识一下什么叫真正的背水阵！,敌]待会儿让你见识一下什么叫真正的背水阵！,敌]Chờ lát nữa cho ngươi mở mang một chút về cái gọi là 'bối thủy trận' chân chính!,Unused
,,,,
d304.txt,,,,
PAUSE,PAUSE,PAUSE,PAUSE,
敌]帕秋莉大人！,敌]帕秋莉大人！,敌]帕秋莉大人！,敌]Ngài Patchouli!,Unused
自]看来有必要怀疑图书馆的安危了呢……,自]看来有必要怀疑图书馆的安危了呢……,自]看来有必要怀疑图书馆的安危了呢……,自]Xem ra cần phải nghi ngờ sự an nguy của thư viện nhỉ…,Unused
,,,,
d311.txt,,,,
敌20]说什么都不能让你进去了！,敌20]何と言っても入らせないよ！,敌20]I'm not going to let you in no matter what!,敌20]Nói gì đi nữa thì cũng không thể để ngươi tiến vào được!,
自0]门番要有点自觉喔。,自0]門番は自覚を持つ方がいいよ。,自0]You should be a good gatekeeper and welcome me in.,自0]Gác cổng thì phải có chút tự giác chứ.,
敌21]诶？？？,敌21]え？？？,敌21]What???,敌21]Hể???,
自0]既然知道我会擅自进去还是很热情的接待吗？,自0]勝手に入ると知っても親切に接待してくれるよね？,"自0]Knowing that I'll get in no matter what, you still want to greet me that way? ",自0]Đã biết ta sẽ tự tiện đi vào nhưng vẫn rất niềm nở mà tiếp đãi sao?,
敌24]这次真的不行……,敌24]今度は本当にダメなんだよ…,敌24]That's not going to happen this time...,敌24]Lần này thật sự là không thể được…,
MUSIC,MUSIC,MUSIC,MUSIC,
自1]嘛，在夜色下打斗肯定更有味道吧。,自1]まあ、夜色の戦いはきっともっと味があるわよね。,"自1]Hmm, it is indeed more romantic to fight under the starry sky I suppose.","自1]Chà, chiến đấu dưới màn đêm thì chắc hẳn càng thêm lý thú đó.",
敌22]果然免不了打一场么！,敌22]やはり戦うかよ！,"敌22]Ugh, give me a break...!",敌22]Quả nhiên không tránh khỏi phải đánh một trận sao!,
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d312.txt,,,,
自2]又见面了DA☆ZE!,自2]また会った☆ZE！,"自2]Hi, nice seeing you again DA ZE!",自2]Lại gặp mặt rồi ĐA☆ZỀ!,
敌20]这次绝对不让你溜进去！,敌20]今回は絶対に忍び込ませない！,敌20]You are not going to sneak in this time!,敌20]Lần này tuyệt đối không để cho ngươi lẻn vào!,
自3]诶？我有溜进去过吗？,自3]え？忍び込んだことあった？,自3]Have I ever snuck in?,自3]Ể? Ta có từng lẻn vào sao?,
敌21]居然不承认吗！,敌21]認めないのかよ！,敌21]You won't even admit it?!,敌21]Lại còn không thừa nhận à!,
自1]果然是个碍手碍脚的门番呢。,自1]やっぱ邪魔な門番だな。,"自1]You are really getting in my way, you know that?",自1]Quả nhiên là một gác cổng làm vướng tay vướng chân nhỉ.,
敌20]总之别想进去一步喔。,敌20]とにかく一歩も入らせないよ。,敌20]I'm not letting you go any farther.,敌20]Tóm lại chớ mong tiến vào một bước.,
MUSIC,MUSIC,MUSIC,MUSIC,
自4]那就试试看吧！,自4]じゃあやってみろぜ！,自4]Try me!,自4]Vậy thì thử tí xem nào!,
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d313.txt,,,,
自0]看来这里就是洋馆门口了呢。,自0]ここは洋館の入り口のようね。,自0]Seems like this is the gate of the mansion.,自0]Xem ra nơi này chính là cổng vào dương quán rồi nhỉ.,
敌23]你是谁啊？,敌23]あんた誰だよ？,敌23]Who are you?,敌23]Ngươi là ai hả?,
自0]代表守矢神社的巫女喔。,自0]守矢の神社を代表する巫女ですよ。,自0]I am the miko of Moriya Shrine.,自0]Ta là Vu nữ đại diện của Thủ Thỉ Thần Xã đây.,
敌21]又是巫女？,敌21]また巫女かよ？,敌21]Miko again?,敌21]Lại là vu nữ nữa?,
自2]诶？之前你还见过其他的巫女么？,自2]え？この前は他の巫女も見たか？,自2]Another miko was here?,自2]Hể? Trước đây ngươi còn từng thấy vu nữ khác sao?,
敌22]不仅见过而且出手过喔。,敌22]見たどころか、戦ったこともあったよ。,"敌22]Not only was she here, we also fought for a while.",敌22]Không những từng thấy mà còn từng đấu nhau nữa đó.,
自0]总之我要进去调查一下啦。,自0]とにかく中を調べさせてもらいます。,自0]I just want to go in and investigate the incident.,自0]Nói chung ta muốn tiến vào điều tra một lát thôi.,
敌24]抱歉，不允许你进去喔。,敌24]わりい、入ることは許せないよ。,"敌24]Sorry, you're not allowed to enter.","敌24]Thứ lỗi, ta không cho phép ngươi tiến vào đâu.",
自2]巫女自有巫女的办法，毕竟你也是妖怪呢。,自2]巫女には巫女なりのやり方。結局妖怪だし。,"自2]We miko have our own ways, you are after all, just a Youkai.","自2]Vu nữ tự có biện pháp của vu nữ, dẫu sao ngươi cũng là yêu quái thôi.",
MUSIC,MUSIC,MUSIC,MUSIC,
敌25]妖怪不是好惹的喔？,敌25]妖怪は容易くやられないよ？,敌25]It's not that smart to mess with a Youkai.,敌25]Yêu quái không phải dễ chọc đâu.,
自1]好惹的话就没有退治的必要了！,自1]容易いなら退治の必要もないからね！,"自1]If that were true, I wouldn't be here to exterminate you!",自1]Nếu mà dễ chọc thì đã chẳng cần thiết phải thoái trị rồi!,
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d314.txt,,,,
敌25]帕秋莉大人，您能出来实在是罕见呀。,敌25]パチュリーさま、珍しく出ておられますね。,敌25]Master Patchouli! It's rare to see you out.,"敌25]Ngài Patchouli, ngài có thể ra đây quả thực là hiếm thấy đó.",
自2]因为某个家伙把我珍贵的书给偷走了呢。,自2]誰かが貴重な本を盗んだからね。,自2]I'm here because someone stole my precious books.,自2]Bởi vì cái tên nào đó trộm mất sách trân quý của ta đi rồi.,
敌20]啊……（好像我又睡过了）,敌20]あ…（なんかわたしまた寝坊しちゃった）,敌20]Ah... (I overslept again),敌20]A… (Dường như mình lại ngủ quên nữa mất rồi),
敌24]话说，身体不要紧吗？,敌24]あの、体の方は大丈夫ですか？,敌24]You feel better now?,"敌24]À, thân thể ngài không sao chứ ạ?",
自1]虽然过滤了空气，但还是很不适应……,自1]空気を濾過したとは言え、未だ慣れない…,"自1]The air has been filtered by the magic, I'm still getting used to it.","自1]Mặc dù đã làm phép lọc không khí, nhưng ta vẫn thấy không thích ứng.",
自0]话说你的身上也沾上了奇怪的气息……,自0]そもそも貴女の身にも変な気配が…,自0]But you have that same strange scent on you...,自0]Chuyện là trên người của ngươi cũng đã dính phải hơi khí kỳ lạ…,
敌23]诶？？？,敌23]え？？？,敌23]What???,敌23]Hể???,
MUSIC,MUSIC,MUSIC,MUSIC,
自0]关键是，如果不清除掉的话……,自0]肝心なのは、クリアしなければ…,自0]It has to be eliminated...,"自0]Mấu chốt là, nếu như mà không thanh trừ đi…",
敌21]什么情况？！,敌21]どゆこと？,敌21]What is going on?!,敌21]Thế này là thế nào?!,
自0]总之我来帮你吧。,自0]とにかく、助けてあげよう。,自0]I'll help you with it.,自0]Dù gì thì ta cũng sẽ giúp ngươi đây.,
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d411.txt,,,,
自2]咦，那个书呆子呢？,自2]あれ？あの本の虫は？,自2]Hmm? Where's that bookworm?,自2]Ơ? Con mọt sách kia đâu?,
敌34]啊啦啊啦，好像在哪里见过你诶，不过这么隐秘的地方居然如此自然地找到了……,敌34]あらあら、どこかでお会いした顔ですね。でもよくこんな秘密の場所を自然に見つけましたね…,"敌34]Ah, you seem familiar. But how did you find this hidden place so easily...","敌34]Ái chà ái chà, dường như từng gặp ngươi ở nơi nào ấy, nhưng chốn kín đáo vầy mà ngươi lại tự nhiên mà tìm ra thế này rồi…",
自1]你也就只能呆在这阴暗潮湿的地方吧。,自1]あんたはこんなに陰湿な場所にしかいられないだろう。,自1]Ever cross your mind that maybe this dark and damp place is the only you deserve?,自1]Ngươi cũng chỉ có thể ở tại cái chốn tối tăm ẩm ướt này thôi.,
敌30]原来如此，是不识抬举的家伙呢。,敌30]なるほど、善意の分からないやつですね。,敌30]I see... How ungrateful you are.,"敌30]Thì ra là thế, đúng là kẻ không biết điều nhỉ.",
敌30]主人难得不在就被奇怪的人入侵了，这难道又是……,敌30]珍しく主が外出した間に、変な人に侵入されて、もしかしてこれはまた…,敌30]Master's rare absence and this weird intruder... Is this another...,"敌30]Chủ nhân hiếm khi vắng nhà là bị kẻ kỳ lạ xâm nhập ngay rồi, đây chẳng lẽ lại là…",
敌33]异变？,敌33]異変？,敌33]Incident?,敌33]Dị biến?,
自0]就是异变喔。,自0]異変だよ。,自0]That's right.,自0]Chính là dị biến.,
敌32]难怪主人最近一直神神秘秘的……,敌32]道理で最近の主はずっとこそこそと…,敌32]No wonder the master has been sneaking around lately.,敌32]Chẳng trách chủ nhân gần đây vẻ thần thần bí bí suốt…,
自1]那家伙就那样吧。,自1]いつものあいつだろう。,自1]That's just her being herself.,自1]Cô ta lúc nào chả thế.,
敌30]是嘛……,敌30]そうですか…,敌30]Is that so...,敌30]Dzậy hở…,
敌34]这里的藏书光重量就能把你压成碎末，何况里面蕴藏的能量……,敌34]ここにある蔵書は重量だけでもあなたを押し潰せます、その上エネルギーも内蔵していて…,"敌34]The weight of the books could easily crush you, let alone the energy inside the books...","敌34]Riêng trọng lượng của tàng thư nơi này là đủ ép nát ngươi được, huống chi bên trong có năng lượng chất chứa…",
敌34]而且……我是被主人选中的在她离开后守卫这里的特殊的恶魔呢……,敌34]それに…わたしは主に選べられた、留守の間にここを守る特別な悪魔…,敌34]And... I'm the special devil the master picked out to look after this place after she left.,"敌34]Hơn nữa… Ta là ác ma đặc biệt, kẻ được chủ nhân chọn lựa để bảo vệ nơi này sau khi ngài rời đi…",
MUSIC,MUSIC,MUSIC,MUSIC,
敌34]总之……,敌34]とにかく…,敌34]Anyway...,敌34]Tóm lại…,
敌33]擅自闯入大图书馆，绝对不能放过！,敌33]勝手に大図書館を侵入したものを、絶対に逃がしません！,敌33]Anyone who breaks into the great library shall be punished!,"敌33]Ai mà tự tiện xông vào đại thư viện, thì ta tuyệt đối không thể buông tha!",
自0]那就试试你能不能阻止我吧。,自0]なら、止められるかを、試してみるわ。,自0]Then try to stop me.,自0]Vậy thì thử coi ngươi có thể ngăn cản ta hay không đi.,
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d412.txt,,,,
敌32]阿咧，好像……,敌32]あら、もしかして…,敌32]Hmm? Is that...?,"敌32]Ủa, hình như…",
自2]呀，被发现了？,自2]あ、バレちゃった？,"自2]Oops, you found me?","自2]Úi, bị phát hiện mất rồi?",
敌34]你就是那个被帕秋莉大人特别嘱咐一级戒备的家伙吧。,敌34]あなたはパチュリーさまが第一級警戒と言いつけました「あの野郎」ですね。,敌34]Are you the one that Master Patchouli's been telling us to keep an eye on?,敌34]Ngươi chính là cái tên bị Ngài Patchouli đặc biệt dặn bảo phải phòng bị hàng đầu mà nhỉ.,
自1]我的形象那么恶劣么……,自1]そんなに悪いイメージかよ…,自1]Is that really what she thinks of me...?,自1]Hình tượng ta tồi tệ như vậy sao…,
敌34]不过看起来主人对你有着特别的关注呢。,敌34]でも主はわざわざ目を向けていますね。,敌34]The master seems to have taken a liking to you.,敌34]Nhưng mà có vẻ chủ nhân có một sự để ý đặc biệt đối với ngươi thì phải.,
自3]诶？,自3]え？,自3]What?,自3]Ể?,
敌30]不过呢……,敌30]でもね…,敌30]But...,敌30]Nhưng mà nè…,
敌33]擅自闯入大图书馆，不能被放过！,敌33]勝手に大図書館に侵入するなんて、見逃せません！,敌33]Anybody who breaks into the great library must be punished!,"敌33]Ai mà tự tiện xông vào đại thư viện, thì ta không thể buông tha cho được!",
敌30]而且我受帕秋莉大人委托暂时掌管这座图书馆，所以……,敌30]それにパチュリーさまに暫くこの図書館を任せられますから…,"敌30]And Master Patchouli bestowed upon me the responsibility of guarding the great library in her absence, so...","敌30]Hơn nữa ta được Ngài Patchouli ủy thác tạm thời trông nom tòa thư viện này, cho nên…",
MUSIC,MUSIC,MUSIC,MUSIC,
敌33]分分钟拿书砸你喔！,敌33]今すぐ本で叩き潰しますよ！,敌33]I'll smash you with these books!,敌33]Ngay giờ ta sẽ cầm sách đập ngươi!,
自2]哇哦，看起来好刺激。,自2]わあ、刺激そう。,自2]Wow! How exciting!,"自2]Wooaa, có vẻ rất là kích thích.",
自4]总之，不要大意地进攻吧，正想好好锻炼一下DA☆ZE!,自4]要するに、油断せずに攻めろか。ちょうど鍛えてえところDA☆ZE！,"自4]Well, stop talking and just do it. I could use some exercise right now, DA ZE!","自4]Tóm lại, chớ nên lơ là mà tấn công đi, ta đang muốn rèn luyện ngon nghẻ một chút ĐA☆ZỀ!",
敌34]那肯定不会让你失望的！,敌34]ならば絶対に失望させませんよ！,敌34]Then I won't let you down!,敌34]Vậy chắc chắn sẽ không để cho ngươi thất vọng!,
PAUSE,PAUSE,PAUSE,PAUSE,
,,,,
d413.txt,,,,
自2]什么啊，这么潮湿阴暗的地方，就算再开朗的家伙也会变成宅啊。,自2]なによここ、こんなに陰湿で、いくら明るい人でも引き籠りになるわよ。,自2]What the heck? Even the most cheerful and outgoing person could turn into a Hikkikomori staying in such a dark and damp place.,"自2]Cái gì đây? Chốn ẩm thấp âm u như vầy, cho dù là người cởi mở thì cũng sẽ trở thành 'trạch' mất.",
敌34]不好意思，你已经达成擅自闯入大图书馆的罪名了呢。。,敌34]申し訳ございません、あなたは「勝手に大図書館を侵入罪」を犯しました。,敌34]I'm sorry. You've been charged with breaking into the great library.,"敌34]Thành thực xin lỗi, ngươi đã cấu thành tội danh tự tiện xông vào đại thư viện rồi đó.",
自2]这里本来就不是我想去的地方啊。,自2]元より行きたいところではありませんよ。,自2]This isn't even where I wanted to go in the first place.,自2]Nơi này đáng lẽ không phải cái chốn mà ta muốn tới.,
敌34]总之你已经来到这里，就准备接受惩罚吧！,敌34]とにかく来ましたから、罰を受けましょう。,"敌34]But you're already here, aren't you? Prepare to take your punishment!","敌34]Dù gì thì ngươi cũng đã tới nơi này, hãy chuẩn bị tiếp nhận sự trừng phạt đi nào!",
